dataset,method,seed,fee,fee_bps,protocol_id,accounting_protocol_id,APV,GARR,ARR,AVol,ASR,MDD,Calmar,Turnover
DJIA30_2026,FinGAT,10,0.002,20,nextclose_t1_t6_stride5_v2_20260905,drift_full_l1_entry_fee_mark_to_market_v1_20260905,1.1776194073329718,0.08589165835522161,0.09721087352848536,0.171347530643044,0.5673316280874674,0.20020662947955692,0.42901505598740425,111.83636179655493
DJIA30_2026,FinGAT,10,0.005,50,nextclose_t1_t6_stride5_v2_20260905,drift_full_l1_entry_fee_mark_to_market_v1_20260905,0.8407309235742327,-0.08372225359463603,-0.07217185098512328,0.17357651782055036,-0.4157927114296482,0.3181717375879114,-0.26313541934724305,111.83636179655493
DJIA30_2026,Buy-and-Hold Equal Weight,deterministic,0.0005,5,nextclose_t1_t6_stride5_v2_20260905,drift_full_l1_entry_fee_mark_to_market_v1_20260905,1.4712738680308577,0.2148356687899391,0.2045672277860449,0.13828327785319144,1.4793345295388778,0.15206653127006964,1.4127741784837038,1.0000000000000113
DJIA30_2026,Buy-and-Hold Equal Weight,deterministic,0.001,10,nextclose_t1_t6_stride5_v2_20260905,drift_full_l1_entry_fee_mark_to_market_v1_20260905,1.4705378630943748,0.21452933904688032,0.2043123819109962,0.13827121762825983,1.4776204723985804,0.15206653127006986,1.4107597329610724,1.0000000000000113
DJIA30_2026,Buy-and-Hold Equal Weight,deterministic,0.002,20,nextclose_t1_t6_stride5_v2_20260905,drift_full_l1_entry_fee_mark_to_market_v1_20260905,1.4690658532214067,0.2139164513379821,0.20380269016089886,0.13824989033350402,1.4741616768683146,0.15206653127006986,1.4067293411070638,1.0000000000000113
DJIA30_2026,Buy-and-Hold Equal Weight,deterministic,0.005,50,nextclose_t1_t6_stride5_v2_20260905,drift_full_l1_entry_fee_mark_to_market_v1_20260905,1.4646498236025038,0.21207595831735904,0.20227361491060716,0.1382082675133254,1.463542077112752,0.15206653127006986,1.3946261320363291,1.0000000000000113
SP500_TOP50_EX_PLTR_2026,Proposed Feedback + Reliability-policy,1,0.0005,5,nextclose_t1_t6_stride5_v2_20260905,drift_full_l1_entry_fee_mark_to_market_v1_20260905,1.5675409157111762,0.25714149020259236,0.28321190862209855,0.33191904649942783,0.8532559719274403,0.33324400193470527,0.7716312633077064,47.63713833680053
SP500_TOP50_EX_PLTR_2026,Proposed Feedback + Reliability-policy,1,0.001,10,nextclose_t1_t6_stride5_v2_20260905,drift_full_l1_entry_fee_mark_to_market_v1_20260905,1.5306278518131464,0.2419823917227666,0.2710172372067038,0.3318495816794093,0.8166869936528232,0.33574142659502115,0.7207403452617457,47.63713833680053
SP500_TOP50_EX_PLTR_2026,Proposed Feedback + Reliability-policy,1,0.002,20,nextclose_t1_t6_stride5_v2_20260905,drift_full_l1_entry_fee_mark_to_market_v1_20260905,1.4593553357300137,0.21219614446163537,0.24662789437591331,0.3317199096829197,0.743482339096429,0.340710295196628,0.6228052026991859,47.63713833680053
SP500_TOP50_EX_PLTR_2026,Proposed Feedback + Reliability-policy,1,0.005,50,nextclose_t1_t6_stride5_v2_20260905,drift_full_l1_entry_fee_mark_to_market_v1_20260905,1.264605518992175,0.12694935858752054,0.1734598658835456,0.33140507748734094,0.5234073877162351,0.3554110428358419,0.3571902481548842,47.63713833680053
SP500_TOP50_EX_PLTR_2026,Proposed Feedback + Reliability-policy,2,0.0005,5,nextclose_t1_t6_stride5_v2_20260905,drift_full_l1_entry_fee_mark_to_market_v1_20260905,1.8121141028249903,0.3534428166256298,0.35580136999056516,0.3248491570324978,1.0952818016854848,0.37094792646455443,0.9528097919140214,42.33929144625398
SP500_TOP50_EX_PLTR_2026,Proposed Feedback + Reliability-policy,2,0.001,10,nextclose_t1_t6_stride5_v2_20260905,drift_full_l1_entry_fee_mark_to_market_v1_20260905,1.774140302599849,0.3389288757667821,0.3449456083758826,0.32478045814406764,1.0620885577508177,0.3731390772870049,0.9083178267766644,42.33929144625398
